Organization Name,Organization Name URL,Number of Employees,Heat Score Tier,Operating Status,IPO Status,Headquarters Location,Industries,Description,CB Rank (Organization),Stage,CB Rank (Company)
Dolce Hotels and Resorts,https://www.crunchbase.com/organization/dolce-hotels-and-resorts,1001-5000,High,Active,Private,"Houston, Texas, United States","Leisure, Resorts",Dolce Hotels and Resorts is a brand of independently owned hotels that targets business travelers.,"617,208",,"588,059"
Queensbury Theatre,https://www.crunchbase.com/organization/queensbury-theatre,101-250,High,Active,Private,"Houston, Texas, United States","Charity, Music, Non Profit, Performing Arts",Queensbury Theatre is a performance art theatre that offers music entertainment performances.,"617,366",,"588,211"
"Cor-Pro Systems, Inc",https://www.crunchbase.com/organization/cor-pro-systems-inc,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Renewable Energy, Solar",Cor-Pro Systems is an oil & energy company offering corrosion protection services.,"618,111",,"589,003"
Great Southwest Paper Company,https://www.crunchbase.com/organization/great-southwest-paper-company,101-250,High,Active,Private,"Houston, Texas, United States","Cleaning Products, Food and Beverage, Janitorial Service, Packaging Services, Wholesale",Great Southwest Paper Company is a distributor of janitorial products.,"620,392",,"591,148"
Techstone Technology Partners,https://www.crunchbase.com/organization/techstone-technology-partners,101-250,High,Active,Private,"Houston, Texas, United States","Cloud Computing, Enterprise Software, Information Technology, IT Management","Techstone Technology Partners is a IT firm that renders cloud integration, monitoring, process management and managed IT services.","621,178",,"591,909"
The Mostyn Law Firm,https://www.crunchbase.com/organization/the-mostyn-law-firm,101-250,High,Active,Private,"Houston, Texas, United States","Consulting, Legal","The Mostyn Law Firm has operations in Houston, Austin, Beaumont and Galveston.","621,906",,"592,691"
E'kabel,https://www.crunchbase.com/organization/e-kabel,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Oil and Gas",E'kabel is an international company dedicated to the development of energy and telecommunications systems.,"622,140",,"592,849"
Zl Chemicals,https://www.crunchbase.com/organization/zl-chemicals,251-500,High,Active,Private,"Houston, Texas, United States","Manufacturing, Oil and Gas, Sales, Technical Support",Zl Chemicals is an manufacturer of oil and gas.,"624,028",,"594,680"
Situs RERC,https://www.crunchbase.com/organization/situs-rerc,501-1000,High,Active,Private,"Houston, Texas, United States","Consulting, Information Services, Real Estate","Situs RERC is a commercial real estate research, valuation, and consulting firm.","625,642",,"596,242"
Texas Medical Technology,https://www.crunchbase.com/organization/texas-medical-technology,251-500,High,Active,Private,"Houston, Texas, United States","Health Care, Medical Device",Texas Medical Technology specializes in the sale and distribution of wide range of medical equipment.,"629,391",,"599,948"
Northern Offshore Ltd,https://www.crunchbase.com/organization/northern-offshore-ltd,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Renewable Energy",Northern Offshore Ltd is an oil & energy company that builds jack up rigs.,"630,178",,"600,704"
Milestone Metals,https://www.crunchbase.com/organization/milestone-metals,101-250,High,Active,Private,"Houston, Texas, United States","Construction, Manufacturing, Mechanical Engineering",Milestone Metals is a metal fabricator and erector services.,"630,553",,"601,071"
Basic Equipment,https://www.crunchbase.com/organization/basic-equipment,101-250,High,Active,Private,"Houston, Texas, United States","Construction, Consulting, Logistics","Basic Equipment is a fully integrated design, construction, and logistics firm.","630,612",,"601,128"
Myrex Industries,https://www.crunchbase.com/organization/myrex-industries,101-250,High,Active,Private,"Houston, Texas, United States","Industrial Manufacturing, Machinery Manufacturing, Manufacturing","Myrex Industries is a steel and structural fabrication firm that provides online plan room, in-house detailing, drafting & welding services.","631,083",,"601,523"
Diversified Thermal,https://www.crunchbase.com/organization/diversified-thermal,101-250,High,Active,Private,"Houston, Texas, United States","Building Material, Construction","Diversified Thermal is a commercial insulation, waterproofing and fire protection firm.","634,051",,"604,392"
Prime Facility Service Group,https://www.crunchbase.com/organization/prime-facility-service-group,251-500,High,Active,Private,"Houston, Texas, United States","Housekeeping Service, Janitorial Service, Training","Prime Facility Service Group provides janitorial and housekeeping services, as well as hospitality staffing and restaurant services.","634,494",,"604,818"
"Ranger Offshore, Inc.",https://www.crunchbase.com/organization/ranger-offshore-inc,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Renewable Energy",Ranger Offshore is an oil & energy company specializing in sub-sea marine construction services.,"635,557",,"605,951"
Alsina,https://www.crunchbase.com/organization/alsina,501-1000,High,Active,Private,"Houston, Texas, United States","Construction, Manufacturing, Transportation","Alsina Formwork Solutions construction, manufacturing company, design, production, and rental of formwork and scaffolding systems.","636,420",,"606,700"
Platinum Drivers Inc.,https://www.crunchbase.com/organization/platinum-drivers-inc,101-250,High,Active,Private,"Houston, Texas, United States","Automotive, Human Resources, Information Technology, Staffing Agency",Platinum Drivers is a staffing and recruiting company specializing in commercial driver placement services.,"637,410",,"607,663"
Singer Equities,https://www.crunchbase.com/organization/singer-equities,101-250,High,Active,Private,"Houston, Texas, United States","Manufacturing, Service Industry",Singer Equities is a decentralized group of value-added distributors in the industrial rubber products industry.,"637,616",,"607,959"
Maverick Engineering,https://www.crunchbase.com/organization/maverick-engineering-6a9a,251-500,High,Active,Private,"Houston, Texas, United States","Civil Engineering, Industrial Engineering, Infrastructure, Oil and Gas, Project Management","Maverick Engineering provides industrial, commercial, and public sectors with project management, surveying, and infrastructure services.","637,943",,"608,183"
Rack Express,https://www.crunchbase.com/organization/rack-express,251-500,High,Active,Private,"Houston, Texas, United States","Commercial, Interior Design, Warehousing","Rack Express offers pallets racking, shelving, mezzanines, conveyors for the material handling industry.","637,960",,"608,293"
Techcess CyberSecurity,https://www.crunchbase.com/organization/techcess-cybersecurity,251-500,High,Active,Private,"Houston, Texas, United States","Consulting, Cyber Security, Information Technology, Training","Techcess CyberSecurity provides security intelligence, asset discovery, and intrusion detection services.","642,980",,"613,074"
Collaborative for Children,https://www.crunchbase.com/organization/collaborative-for-children,101-250,High,Active,Private,"Houston, Texas, United States","Child Care, Education, Parenting",Collaborative for Children helps improve the quality of early childhood education to make children ready to succeed in future.,"643,149",,"613,236"
ACCC Insurance,https://www.crunchbase.com/organization/accc-insurance,501-1000,High,Active,Private,"Houston, Texas, United States","Financial Services, Insurance, Property Insurance","ACCC Insurance is an insurance firm that offers car insurance, personal insurance, liability, property insurance, and reinsurance services.","643,880",,"614,036"
Way Engineering,https://www.crunchbase.com/organization/way-engineering,501-1000,High,Active,Private,"Houston, Texas, United States","Building Maintenance, Construction, Heating, Ventilation, and Air Conditioning (HVAC), Manufacturing","Way Engineering is a mechanical contractor that specializes in commercial air conditioning, plumbing, piping & maintainance.","645,057",,"615,191"
EQD,https://www.crunchbase.com/organization/eqd,101-250,High,Active,Private,"Houston, Texas, United States",Legal,EQD is a legal services company providing litigation and business support services.,"645,102",,"615,132"
Heritage Texas Properties,https://www.crunchbase.com/organization/heritage-texas-properties-2,251-500,High,Active,Private,"Houston, Texas, United States",Real Estate,"Heritage Texas Properties, LLC is a real estate company which provides residential brokerage service.","646,072",,"616,068"
Axon Pressure Products,https://www.crunchbase.com/organization/axon-pressure-products,101-250,High,Active,Private,"Houston, Texas, United States",Manufacturing,Axon Pressure Products is a maker of pressure control equipment.,"646,990",,"616,965"
Dan-Loc,https://www.crunchbase.com/organization/dan-loc,101-250,High,Active,Private,"Houston, Texas, United States",Manufacturing,"Dan-Loc is a manufacturer of high performance, engineered metal fasteners and gaskets.","648,442",,"618,375"
Superior Building Systems,https://www.crunchbase.com/organization/superior-building-systems,101-250,High,Active,Private,"Houston, Texas, United States","Civil Engineering, Commercial, Construction","Superior Building Systems offers turnkey construction services, building expansions, remodeling, and repairs.","650,030",,"620,006"
Crescent Home Health,https://www.crunchbase.com/organization/crescent-home-health,251-500,High,Active,Private,"Houston, Texas, United States","Elder Care, Health Care, Hospital, Medical, Nursing and Residential Care","Crescent Home Health provides physical therapy, occupational therapy, speech therapy, and elder care services.","651,277",,"621,232"
